Event: 227743913 | orbit≈ 22774391 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743923 | orbit≈ 22774392 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743933 | orbit≈ 22774393 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743943 | orbit≈ 22774394 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743953 | orbit≈ 22774395 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743963 | orbit≈ 22774396 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743973 | orbit≈ 22774397 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743983 | orbit≈ 22774398 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227743993 | orbit≈ 22774399 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744003 | orbit≈ 22774400 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744013 | orbit≈ 22774401 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744023 | orbit≈ 22774402 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744033 | orbit≈ 22774403 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744043 | orbit≈ 22774404 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744053 | orbit≈ 22774405 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744063 | orbit≈ 22774406 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744073 | orbit≈ 22774407 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744083 | orbit≈ 22774408 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744093 | orbit≈ 22774409 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744103 | orbit≈ 22774410 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227744113 | orbit≈ 22774411 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
